isbn,authors,original_publication_year,original_title,title,language_code,average_rating,image_url,small_image_url
425259854,Nora Roberts,2013,Dark Witch,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",eng,3.91,https://images.gr-assets.com/books/1480131721m/16158558.jpg,https://images.gr-assets.com/books/1480131721s/16158558.jpg
312590970,Alyson Noel,2010,Dark Flame,"Dark Flame (The Immortals, #4)",eng,3.73,https://images.gr-assets.com/books/1362336376m/7198988.jpg,https://images.gr-assets.com/books/1362336376s/7198988.jpg
1101990260,Fiona Barton,2016,The Widow,The Widow,eng,3.49,https://images.gr-assets.com/books/1449178687m/25734248.jpg,https://images.gr-assets.com/books/1449178687s/25734248.jpg
545060451,Patrick Carman,2009,The Black Circle,"The Black Circle (The 39 Clues, #5)",en-US,4,https://images.gr-assets.com/books/1357211043m/6255144.jpg,https://images.gr-assets.com/books/1357211043s/6255144.jpg
62248162,Kiera Cass,2013,The Prince,"The Prince (The Selection, #0.5)",,3.93,https://images.gr-assets.com/books/1354127071m/15820748.jpg,https://images.gr-assets.com/books/1354127071s/15820748.jpg
374384681,Marie Rutkoski,2014,The Winner's Curse,"The Winner's Curse (The Winner's Trilogy, #1)",eng,4.03,https://images.gr-assets.com/books/1377023523m/16069030.jpg,https://images.gr-assets.com/books/1377023523s/16069030.jpg
679766758,Sapphire,1996,Push,Push,eng,3.82,https://images.gr-assets.com/books/1414633395m/71332.jpg,https://images.gr-assets.com/books/1414633395s/71332.jpg
1609451341,"Elena Ferrante, Ann Goldstein",2012,Storia del nuovo cognome,The Story of a New Name (The Neapolitan Novels #2),eng,4.37,https://images.gr-assets.com/books/1501012849m/17465515.jpg,https://images.gr-assets.com/books/1501012849s/17465515.jpg
345413970,Arthur C. Clarke,1982,2010: Odyssey Two,"2010: Odyssey Two (Space Odyssey, #2)",eng,3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
759530017,Atsushi Ohkubo,2004,ã‚_ã‚_ãƒ«ã‚_ãƒ_ã‚¿ãƒ_ 1,"Soul Eater, Vol. 01 (Soul Eater, #1)",en-US,4.3,https://images.gr-assets.com/books/1443900841m/6406018.jpg,https://images.gr-assets.com/books/1443900841s/6406018.jpg
1451645821,William Kent Krueger,2013,Ordinary Grace,Ordinary Grace,eng,4.14,https://images.gr-assets.com/books/1358264094m/15803059.jpg,https://images.gr-assets.com/books/1358264094s/15803059.jpg
446611778,David Baldacci,2001,Last Man Standing,Last Man Standing,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1596431520,Gene Luen Yang,2006,American Born Chinese,American Born Chinese,eng,3.88,https://images.gr-assets.com/books/1317066615m/118944.jpg,https://images.gr-assets.com/books/1317066615s/118944.jpg
307001040,"Eugene Bradley Coco, Ron Dias, Walt Disney Company",1960,Peter Pan (Little Golden Book),Peter Pan (A Little Golden Book),eng,4.32,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
991686004,K.A. Tucker,2012,Ten Tiny Breaths,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",eng,4.16,https://images.gr-assets.com/books/1368808763m/15990969.jpg,https://images.gr-assets.com/books/1368808763s/15990969.jpg
1400065453,David Mitchell,2010,The Thousand Autumns of Jacob de Zoet,The Thousand Autumns of Jacob de Zoet,eng,4.03,https://images.gr-assets.com/books/1320540908m/7141642.jpg,https://images.gr-assets.com/books/1320540908s/7141642.jpg
486282082,Christopher Marlowe,1604,The Tragical History of the Life and Death of Doctor Faustus,Dr. Faustus,eng,3.79,https://images.gr-assets.com/books/1392156779m/18525.jpg,https://images.gr-assets.com/books/1392156779s/18525.jpg
312984839,Sherrilyn Kenyon,2003,Dance with the Devil,Dance with the Devil (Dark-Hunter #3),eng,4.39,https://images.gr-assets.com/books/1388703603m/84145.jpg,https://images.gr-assets.com/books/1388703603s/84145.jpg
786887079,Candace Bushnell,2005,Lipstick Jungle,Lipstick Jungle,eng,3.39,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
446611212,James Patterson,2001,Violets Are Blue,"Violets Are Blue (Alex Cross, #7)",eng,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
671791540,"Anthony Robbins, Tony Robbins, Frederick L. Covan",1992,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!","Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",eng,4.1,https://images.gr-assets.com/books/1415677371m/180116.jpg,https://images.gr-assets.com/books/1415677371s/180116.jpg
515134457,Laurell K. Hamilton,1998,"Blue Moon (Anita Blake, Vampire Hunter, #8)","Blue Moon (Anita Blake, Vampire Hunter, #8)",en-US,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
515134473,Laurell K. Hamilton,1998,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)","Burnt Offerings (Anita Blake, Vampire Hunter, #7)",en-US,4.07,https://images.gr-assets.com/books/1289528358m/30242.jpg,https://images.gr-assets.com/books/1289528358s/30242.jpg
1250010713,Diane Chamberlain,2014,The Silent Sister,"The Silent Sister (Riley MacPherson, #1)",eng,3.93,https://images.gr-assets.com/books/1406526579m/19286669.jpg,https://images.gr-assets.com/books/1406526579s/19286669.jpg
385333781,Kurt Vonnegut Jr.,1952,Player Piano,Player Piano,eng,3.85,https://images.gr-assets.com/books/1488041609m/9597.jpg,https://images.gr-assets.com/books/1488041609s/9597.jpg
812967259,Arthur Conan Doyle,1912,The Lost World ,"The Lost World (Professor Challenger, #1)",,3.92,https://images.gr-assets.com/books/1320504012m/10155.jpg,https://images.gr-assets.com/books/1320504012s/10155.jpg
,Terry Pratchett,2003,Monstrous Regiment,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",eng,4.18,https://images.gr-assets.com/books/1375908503m/34511.jpg,https://images.gr-assets.com/books/1375908503s/34511.jpg
807083690,Octavia E. Butler,1979,Kindred,Kindred,eng,4.18,https://images.gr-assets.com/books/1339423248m/60931.jpg,https://images.gr-assets.com/books/1339423248s/60931.jpg
60885424,"Laura Ingalls Wilder, Garth Williams",1940,"The Long Winter (Little House, #6)","The Long Winter (Little House, #6)",,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
310247454,"Henry Cloud, John Townsend",1992,Boundaries,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",en-US,4.19,https://images.gr-assets.com/books/1406403521m/525488.jpg,https://images.gr-assets.com/books/1406403521s/525488.jpg
545424968,Maggie Stiefvater,2014,"Blue Lily, Lily Blue","Blue Lily, Lily Blue (The Raven Cycle, #3)",eng,4.32,https://images.gr-assets.com/books/1477103826m/17378508.jpg,https://images.gr-assets.com/books/1477103826s/17378508.jpg
99399016,"Philip Roth, Luca Marinelli",1969,Portnoy's Complaint,Portnoy's Complaint,,3.69,https://images.gr-assets.com/books/1327929440m/43945.jpg,https://images.gr-assets.com/books/1327929440s/43945.jpg
785274316,"John C. Maxwell, Zig Ziglar",1998,The 21 Irrefutable Laws of Leadership,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,eng,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
385491026,Margaret Atwood,1988,Cat's Eye,Cat's Eye,eng,3.92,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
,J. Sterling,2012,The Perfect Game,"The Perfect Game (The Perfect Game, #1)",eng,3.97,https://images.gr-assets.com/books/1345824139m/15783307.jpg,https://images.gr-assets.com/books/1345824139s/15783307.jpg
1406310271,Patrick Ness,2010,Monsters of Men,"Monsters of Men (Chaos Walking, #3)",eng,4.25,https://images.gr-assets.com/books/1467392755m/7540092.jpg,https://images.gr-assets.com/books/1467392755s/7540092.jpg
1841492051,Orson Scott Card,2005,Shadow of the Giant,"Shadow of the Giant (Ender's Shadow, #4)",eng,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
545027896,Brian Selznick,2011,Wonderstruck,Wonderstruck,eng,4.16,https://images.gr-assets.com/books/1327885739m/10128428.jpg,https://images.gr-assets.com/books/1327885739s/10128428.jpg
446519138,Sarah Ban Breathnach,1995,Simple Abundance:  A Daybook of Comfort and Joy,Simple Abundance:  A Daybook of Comfort and Joy,en-US,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1442429984,Moira Young,2011,Blood Red Road ,"Blood Red Road (Dust Lands, #1)",eng,3.94,https://images.gr-assets.com/books/1293651959m/9917938.jpg,https://images.gr-assets.com/books/1293651959s/9917938.jpg
316014796,"James Patterson, Maxine Paetro",2007,The 6th Target,"The 6th Target (Women's Murder Club, #6)",en-US,4.02,https://images.gr-assets.com/books/1336275870m/13131.jpg,https://images.gr-assets.com/books/1336275870s/13131.jpg
143104888,"Edgar Rice Burroughs, John Seelye",1912,A Princess of Mars,"A Princess of Mars (Barsoom, #1)",en-GB,3.8,https://images.gr-assets.com/books/1332272118m/40395.jpg,https://images.gr-assets.com/books/1332272118s/40395.jpg
385528787,Margaret Atwood,2013,MaddAddam,"MaddAddam (MaddAddam, #3)",eng,3.98,https://images.gr-assets.com/books/1366394020m/17262203.jpg,https://images.gr-assets.com/books/1366394020s/17262203.jpg
60264802,"Laura Ingalls Wilder, Garth Williams",1943,These Happy Golden Years,"These Happy Golden Years (Little House, #8)",eng,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
812971426,Victoria Finlay,2003,Color: A Natural History of the Palette,Color: A Natural History of the Palette,en-US,3.74,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
99481685,John Grisham,2001,Skipping Christmas,Skipping Christmas,eng,3.47,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
446613444,Michael Connelly,1993,,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",eng,4.05,https://images.gr-assets.com/books/1372241876m/24244.jpg,https://images.gr-assets.com/books/1372241876s/24244.jpg
312577206,Kristin Hannah,2012,Home Front,Home Front,eng,4.12,https://images.gr-assets.com/books/1344319152m/12022079.jpg,https://images.gr-assets.com/books/1344319152s/12022079.jpg
1476731535,Christina Lauren,2013,Beautiful Stranger,"Beautiful Stranger (Beautiful Bastard, #2)",eng,4.24,https://images.gr-assets.com/books/1359073239m/16117506.jpg,https://images.gr-assets.com/books/1359073239s/16117506.jpg
385730306,Libba Bray,2007,The Sweet Far Thing,"The Sweet Far Thing (Gemma Doyle, #3)",eng,3.97,https://images.gr-assets.com/books/1358704741m/127459.jpg,https://images.gr-assets.com/books/1358704741s/127459.jpg
375702709,Ernest J. Gaines,1993,A Lesson Before Dying,A Lesson Before Dying,en-US,3.93,https://images.gr-assets.com/books/1405866945m/5197.jpg,https://images.gr-assets.com/books/1405866945s/5197.jpg
349119759,David Sedaris,1998,SantaLand Diaries,SantaLand Diaries,en-US,4.33,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1455520616,Nicholas Sparks,2015,See Me,See Me,eng,3.93,https://images.gr-assets.com/books/1439564033m/24820165.jpg,https://images.gr-assets.com/books/1439564033s/24820165.jpg
385342047,Sophie Kinsella,2010,Mini Shopaholic,"Mini Shopaholic (Shopaholic, #6)",eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
60268654,"Gene Zion, Margaret Bloy Graham",1956,,Harry the Dirty Dog,en-US,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
145161778X,Jennifer Weiner,2014,,All Fall Down,eng,3.61,https://images.gr-assets.com/books/1394567549m/18144115.jpg,https://images.gr-assets.com/books/1394567549s/18144115.jpg
015626224X,George Orwell,1933,Down and Out in Paris and London,Down and Out in Paris and London,en-US,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1427814031,Hiro Fujiwara,2006,ä__é•·ãÅ¯ãƒ¡ã‚_ãƒ‰æ§˜! 1,"Maid-sama! Vol. 01 (Maid-sama!, #1)",eng,4.4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1551924013,Nick Bantock,1991,Griffin & Sabine: An Extraordinary Correspondence,Griffin and Sabine (Griffin & Sabine #1),eng,4.01,https://images.gr-assets.com/books/1356716196m/381102.jpg,https://images.gr-assets.com/books/1356716196s/381102.jpg
080509461X,Leigh Bardugo,2014,Ruin and Rising,"Ruin and Rising (Shadow and Bone, #3)",eng,4.17,https://images.gr-assets.com/books/1392398530m/14061957.jpg,https://images.gr-assets.com/books/1392398530s/14061957.jpg
9773513912,Ø£Ø_Ù…Ø¯ Ø®Ø§Ù„Ø¯ ØªÙˆÙÅÙ_Ù‚,2008,Ù_ÙˆØªÙˆØ¨Ù_Ø§,Ù_ÙˆØªÙˆØ¨Ù_Ø§,ara,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
743294254,Jennifer Weiner,2000,Certain Girls,Certain Girls (Cannie Shapiro #2),eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
030794932X,Cheryl Strayed,2012,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,,4.29,https://images.gr-assets.com/books/1339807006m/13152194.jpg,https://images.gr-assets.com/books/1339807006s/13152194.jpg
440244161,Karen Marie Moning,1999,Beyond the Highland Mist,"Beyond the Highland Mist (Highlander, #1)",eng,3.99,https://images.gr-assets.com/books/1348924088m/743599.jpg,https://images.gr-assets.com/books/1348924088s/743599.jpg
451203267,Ann Rule,1980,The Stranger Beside Me,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,en-GB,4.13,https://images.gr-assets.com/books/1330072383m/15654.jpg,https://images.gr-assets.com/books/1330072383s/15654.jpg
61284408,Claudia Gray,2009,Stargazer,"Stargazer (Evernight, #2)",eng,3.8,https://images.gr-assets.com/books/1306376986m/3054684.jpg,https://images.gr-assets.com/books/1306376986s/3054684.jpg
606298231,Michael Crichton,1992,Rising Sun,Rising Sun,eng,3.61,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
440060672,Sidney Sheldon,1973,The Other Side of Midnight,The Other Side of Midnight (Midnight #1),eng,3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
316069485,Michael Connelly,2010,The Reversal,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)",eng,4.13,https://images.gr-assets.com/books/1421934033m/7936809.jpg,https://images.gr-assets.com/books/1421934033s/7936809.jpg
380731509,"Louis Sachar, Joel Schick",1989,Wayside School is Falling Down,Wayside School Is Falling Down (Wayside School #2),eng,4.17,https://images.gr-assets.com/books/1405055796m/10065.jpg,https://images.gr-assets.com/books/1405055796s/10065.jpg
307713547,"Julie Orringer, Arthur Morey",2010,The Invisible Bridge,The Invisible Bridge,eng,4.19,https://images.gr-assets.com/books/1274139506m/7274337.jpg,https://images.gr-assets.com/books/1274139506s/7274337.jpg
61974618,Pittacus Lore,2013,The Fall of Five,"The Fall of Five (Lorien Legacies, #4)",eng,4.24,https://images.gr-assets.com/books/1375365364m/15861491.jpg,https://images.gr-assets.com/books/1375365364s/15861491.jpg
141439785,"Thomas Hardy, Keith Wilson",1886,The Mayor of Casterbridge,The Mayor of Casterbridge,eng,3.8,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
,John Steinbeck,1933,The Red Pony,The Red Pony,,3.42,https://images.gr-assets.com/books/1391231816m/8732.jpg,https://images.gr-assets.com/books/1391231816s/8732.jpg
99478536,Jo NesbÃ¸,2003,Marekors ,"The Devil's Star (Harry Hole, #5)",eng,4.03,https://images.gr-assets.com/books/1328611163m/498389.jpg,https://images.gr-assets.com/books/1328611163s/498389.jpg
425169693,Alice Hoffman,1997,Here on Earth ,Here on Earth,eng,3.68,https://images.gr-assets.com/books/1388299278m/5159.jpg,https://images.gr-assets.com/books/1388299278s/5159.jpg
679436545,"Anne Rice, Tim Curry",1994,Taltos,"Taltos (Lives of the Mayfair Witches, #3)",,3.78,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
,Laurell K. Hamilton,2000,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)","Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",eng,4.08,https://images.gr-assets.com/books/1327139907m/190361.jpg,https://images.gr-assets.com/books/1327139907s/190361.jpg
345503821,Peter V. Brett,2013,The Daylight War,"The Daylight War (Demon Cycle, #3)",eng,4.23,https://images.gr-assets.com/books/1360777092m/9268487.jpg,https://images.gr-assets.com/books/1360777092s/9268487.jpg
385515049,John Grisham,2008,The Appeal,The Appeal,en-US,3.58,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
689878583,Tamora Pierce,1986,The Woman Who Rides Like a Man,"The Woman Who Rides Like a Man (Song of the Lioness, #3)",en-US,4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
034552425X,Ben Aaronovitch,2011,Rivers of London,"Midnight Riot (Peter Grant, #1)",eng,3.92,https://images.gr-assets.com/books/1389055317m/8680417.jpg,https://images.gr-assets.com/books/1389055317s/8680417.jpg
60090375,Marian Keyes,1996,Lucy Sullivan is Getting Married,Lucy Sullivan Is Getting Married,en-US,3.74,https://images.gr-assets.com/books/1407707569m/9303.jpg,https://images.gr-assets.com/books/1407707569s/9303.jpg
055255264X,Terry Pratchett,2004,A Hat Full of Sky,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",eng,4.29,https://images.gr-assets.com/books/1319037274m/34501.jpg,https://images.gr-assets.com/books/1319037274s/34501.jpg
60786523,Vikram Seth,1993,A Suitable Boy,"A Suitable Boy (A Suitable Boy, #1)",en-US,4.1,https://images.gr-assets.com/books/1329421639m/50365.jpg,https://images.gr-assets.com/books/1329421639s/50365.jpg
,Chimamanda Ngozi Adichie,2014,We Should All Be Feminists,We Should All Be Feminists,eng,4.47,https://images.gr-assets.com/books/1430821222m/22738563.jpg,https://images.gr-assets.com/books/1430821222s/22738563.jpg
1841497975,Patricia Briggs,2011,River Marked,"River Marked (Mercy Thompson, #6)",en-GB,4.26,https://images.gr-assets.com/books/1305738320m/8087906.jpg,https://images.gr-assets.com/books/1305738320s/8087906.jpg
446578843,Amy Sedaris,2006,I Like You: Hospitality Under the Influence,I Like You: Hospitality Under the Influence,eng,3.87,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
425198685,William Gibson,2003,Pattern Recognition,"Pattern Recognition (Blue Ant, #1)",eng,3.86,https://images.gr-assets.com/books/1288326931m/22320.jpg,https://images.gr-assets.com/books/1288326931s/22320.jpg
62267523,Peter  Swanson,2015,The Kind Worth Killing,The Kind Worth Killing,eng,4.03,https://images.gr-assets.com/books/1417981750m/21936809.jpg,https://images.gr-assets.com/books/1417981750s/21936809.jpg
761104844,Patricia Schultz,2003,"1,000 Places to See Before You Die","1,000 Places to See Before You Die",,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
60577371,"Angie Sage, Mark Zug",2007,Physik,"Physik (Septimus Heap, #3)",en-US,3.99,https://images.gr-assets.com/books/1398052658m/355916.jpg,https://images.gr-assets.com/books/1398052658s/355916.jpg
141311401,"Roald Dahl, Quentin Blake",1984,Boy: Tales of Childhood,Boy: Tales of Childhood,eng,4.09,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
385496095,Anne Lamott,1999,Traveling Mercies: Some Thoughts on Faith,Traveling Mercies: Some Thoughts on Faith,en-CA,4.15,https://images.gr-assets.com/books/1403182174m/10890.jpg,https://images.gr-assets.com/books/1403182174s/10890.jpg
1416548009,Vince Flynn,2004,Memorial Day,"Memorial Day (Mitch Rapp, #7)",eng,4.3,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1416903437,Tamora Pierce,1992,"Wild Magic (Immortals, #1)","Wild Magic (Immortals, #1)",en-US,4.32,https://images.gr-assets.com/books/1166573613m/13836.jpg,https://images.gr-assets.com/books/1166573613s/13836.jpg
,Isaac Asimov,1988,Prelude to Foundation,Prelude to Foundation,eng,4.05,https://images.gr-assets.com/books/1335782474m/30013.jpg,https://images.gr-assets.com/books/1335782474s/30013.jpg
1859855423,Max Lucado,1997,You Are Special: A Story for Everyone,"You Are Special (Wemmicksville, #1)",eng,4.45,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
399171614,Renee Ahdieh,2015,The Wrath & the Dawn,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",eng,4.19,https://images.gr-assets.com/books/1417956963m/18798983.jpg,https://images.gr-assets.com/books/1417956963s/18798983.jpg
307267148,"Nicholas D. Kristof, Sheryl WuDunn",2008,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,eng,4.31,https://images.gr-assets.com/books/1320486170m/6260997.jpg,https://images.gr-assets.com/books/1320486170s/6260997.jpg
316127256,"Daniel Handler, Maira Kalman",2011,Why We Broke Up,Why We Broke Up,eng,3.49,https://images.gr-assets.com/books/1348728685m/10798418.jpg,https://images.gr-assets.com/books/1348728685s/10798418.jpg
1408852594,Sarah J. Maas,2014,The Assassin's Blade,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",eng,4.48,https://images.gr-assets.com/books/1384362444m/18243700.jpg,https://images.gr-assets.com/books/1384362444s/18243700.jpg
1400064759,Curtis Sittenfeld,2008,American Wife,American Wife,eng,3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
441014348,Jim Butcher,2006,Cursor's Fury,"Cursor's Fury (Codex Alera, #3)",eng,4.36,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
449912558,Mary Doria Russell,1996,The Sparrow,"The Sparrow (The Sparrow, #1)",eng,4.17,https://images.gr-assets.com/books/1230829367m/334176.jpg,https://images.gr-assets.com/books/1230829367s/334176.jpg
743422449,Jodi Picoult,1996,Mercy,Mercy,en-GB,3.57,https://images.gr-assets.com/books/1299040130m/10910.jpg,https://images.gr-assets.com/books/1299040130s/10910.jpg
1477823832,Charlie N. Holmberg,2014,The Paper Magician,"The Paper Magician (The Paper Magician Trilogy, #1)",eng,3.63,https://images.gr-assets.com/books/1405618531m/20727654.jpg,https://images.gr-assets.com/books/1405618531s/20727654.jpg
61728977,Steve Harvey,2009,"Act Like a Lady, Think Like a Man","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
385526261,Candice Millard,2011,,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",en-US,4.19,https://images.gr-assets.com/books/1327883084m/10335318.jpg,https://images.gr-assets.com/books/1327883084s/10335318.jpg
143039970,"Shirley Jackson, Jonathan Lethem",1962,We Have Always Lived in the Castle,We Have Always Lived in the Castle,eng,4.05,https://images.gr-assets.com/books/1415357189m/89724.jpg,https://images.gr-assets.com/books/1415357189s/89724.jpg
1591451876,Emerson Eggerichs,2004,,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
